genename,Tce_WB_log2FC_SB,Tce_WB_FDR_SB,Tce_WB_sexbias,Tce_WB_log2FC_SA,Tce_WB_FDR_SA,scaf_name,linkagegroup,chr_type
RBBH-17479,0.21862792,0.694848951,Unbiased,0.059786384,0.980477705,PGFK01001013.1,NA,NA
RBBH-1748,2.092196728,1.33E-06,female_biased,-1.788873832,0.001020332,PGFK01003638.1,NA,NA
RBBH-17481,-0.12040508,0.925723364,Unbiased,0.098748158,0.980477705,PGFK01002391.1,NA,NA
RBBH-17482,0.003329612,0.997211962,Unbiased,NA,NA,CM009474.1,LG11,A
RBBH-17483,-0.030748295,0.954794823,Unbiased,0.039133864,0.985889892,CM009473.1,LG10,A
RBBH-17484,-1.215497159,0.127701786,Unbiased,-0.223068068,0.968837926,PGFK01003056.1,NA,NA
RBBH-17485,0.515671944,0.307280537,Unbiased,0.251082296,0.909779001,CM009479.1,LG4,A
RBBH-17487,0.550312295,0.160696124,Unbiased,-0.357858854,0.788632411,CM009478.1,LG3,A
RBBH-17489,-0.415558703,0.483325741,Unbiased,0.438122203,0.776111397,CM009474.1,LG11,A
RBBH-1749,-0.807611258,0.133411064,Unbiased,0.335924896,0.899551393,CM009481.1,LG6,A
RBBH-17490,-0.898585332,0.040035669,male_biased,0.865746112,0.180486625,CM009478.1,LG3,A
RBBH-17491,-0.39573896,0.605957323,Unbiased,NA,NA,CM009481.1,LG6,A
RBBH-17493,-0.741516805,0.180281673,Unbiased,-0.310096138,0.927157238,CM009484.1,LG9,A
RBBH-17494,0.690903225,0.350480471,Unbiased,0.310351619,0.918706068,CM009482.1,LG7,A
RBBH-17495,-1.296346258,0.010270698,male_biased,0.374144694,0.870660402,CM009478.1,LG3,A
RBBH-17496,0.284220704,0.495134857,Unbiased,-0.026029469,0.990810519,CM009478.1,LG3,A
RBBH-17497,-0.534542714,0.304557381,Unbiased,0.391729266,0.818843968,CM009481.1,LG6,A
RBBH-17498,0.113999695,0.875924601,Unbiased,0.335742266,0.902932832,CM009478.1,LG3,A
RBBH-17499,0.032851371,0.973965923,Unbiased,-1.081978806,0.291136292,CM009479.1,LG4,A
RBBH-175,1.301728788,0.013302927,female_biased,-0.219520251,0.938549605,CM009477.1,LG2,A
RBBH-1750,2.083585254,0.008620405,female_biased,-0.122498098,0.979236703,CM009481.1,LG6,A
RBBH-17500,0.289954072,0.582322043,Unbiased,0.049200251,0.983005198,PGFK01003638.1,NA,NA
RBBH-17503,-0.245836124,0.793871931,Unbiased,0.422871219,0.874105114,CM009479.1,LG4,A
RBBH-17505,-1.103766462,0.043480353,male_biased,0.111381927,0.974365244,PGFK01002092.1,NA,NA
RBBH-17507,0.508882964,0.276141422,Unbiased,0.124245651,0.965658658,CM009478.1,LG3,A
RBBH-17509,-0.079636858,0.876012646,Unbiased,0.213938138,0.89471414,CM009480.1,LG5,A
