genename,Tce_WB_log2FC_SB,Tce_WB_FDR_SB,Tce_WB_sexbias,Tce_WB_log2FC_SA,Tce_WB_FDR_SA,scaf_name,linkagegroup,chr_type
RBBH-100,0.019098855,0.988255388,Unbiased,-0.016003788,0.996226733,CM009472.1,LG1,A
RBBH-1000,-1.407842124,0.259109062,Unbiased,0.569590485,0.913458548,CM009479.1,LG4,A
RBBH-10000,-0.855102418,0.621528995,Unbiased,0.357741582,0.967168048,CM009474.1,LG11,A
RBBH-10001,2.897645142,1.51E-06,female_biased,0.326428941,0.908902941,CM009474.1,LG11,A
RBBH-10004,0.523372871,0.448574222,Unbiased,-0.805393238,0.562810045,CM009483.1,LG8,A
RBBH-10005,-0.347441584,0.728372767,Unbiased,0.016202325,0.996226733,CM009483.1,LG8,A
RBBH-10006,-0.623187736,0.168637659,Unbiased,-0.625577256,0.442322876,CM009475.1,LG12,A
RBBH-10007,-0.903504242,0.007318136,male_biased,-1.233213191,0.002813073,CM009482.1,LG7,A
RBBH-10009,0.34221794,0.630102252,Unbiased,-1.177910817,0.112299614,CM009475.1,LG12,A
RBBH-1001,-0.593539312,0.117430195,Unbiased,0.105055155,0.965681626,CM009478.1,LG3,A
RBBH-10010,-0.808710845,0.196950823,Unbiased,0.090329053,0.976581169,CM009473.1,LG10,A
RBBH-10011,-0.648758836,0.212777255,Unbiased,0.231437381,0.923451242,CM009475.1,LG12,A
RBBH-10012,-0.583295571,0.373190738,Unbiased,0.15543765,0.968837926,CM009483.1,LG8,A
RBBH-10013,-0.483770587,0.538574878,Unbiased,0.311140981,0.921182409,CM009480.1,LG5,A
RBBH-10015,-0.275104922,0.660383937,Unbiased,-0.280958538,0.907190558,CM009473.1,LG10,A
RBBH-10016,-3.390362987,5.29E-15,male_biased,1.471595846,0.019864714,CM009484.1,LG9,A
RBBH-10017,0.560700828,0.234548022,Unbiased,-0.458523423,0.707943745,CM009482.1,LG7,A
RBBH-10018,0.119630011,0.909035841,Unbiased,0.473995973,0.844288073,CM009475.1,LG12,A
RBBH-1002,-0.066984361,0.940457957,Unbiased,-0.632564419,0.732229633,CM009484.1,LG9,A
RBBH-10020,0.437866456,0.402770199,Unbiased,-0.099756165,0.972938545,PGFK01002391.1,NA,NA
RBBH-10021,0.174880497,0.777656058,Unbiased,0.695715798,0.326579372,CM009474.1,LG11,A
RBBH-10022,-0.256204273,0.686257224,Unbiased,0.544631049,0.591334438,CM009483.1,LG8,A
RBBH-10023,-0.358651426,0.665945508,Unbiased,0.375666458,0.902932832,CM009479.1,LG4,A
RBBH-10024,-0.074200312,0.912174413,Unbiased,0.393641889,0.869482147,CM009482.1,LG7,A
RBBH-10025,0.759647001,0.251213967,Unbiased,-0.658361178,0.581528577,CM009483.1,LG8,A
RBBH-10026,-0.408059178,0.350610125,Unbiased,0.328695322,0.823799103,CM009478.1,LG3,A
RBBH-10027,0.386070608,0.406126174,Unbiased,0.178482078,0.934031512,CM009479.1,LG4,A
RBBH-10028,0.880756289,0.020429068,female_biased,0.106453795,0.969965601,PGFK01002391.1,NA,NA
RBBH-10029,-0.306570575,0.663499345,Unbiased,-0.111947408,0.973682198,CM009482.1,LG7,A
RBBH-1003,-0.624694323,0.239727404,Unbiased,0.857550342,0.25226288,PGFK01000663.1,NA,NA
RBBH-10030,-0.718667157,0.403484313,Unbiased,-0.219399316,0.949123908,CM009481.1,LG6,A
RBBH-10031,0.135964589,0.809461848,Unbiased,-0.268399491,0.87001758,CM009479.1,LG4,A
RBBH-10032,0.233062696,0.681740052,Unbiased,-0.385016868,0.810424391,CM009480.1,LG5,A
RBBH-10033,0.632105741,0.262658223,Unbiased,-0.230519655,0.927023845,CM009484.1,LG9,A
RBBH-10034,-0.131425486,0.789078268,Unbiased,-0.308544107,0.770022294,CM009482.1,LG7,A
RBBH-10035,0.500740932,0.288965967,Unbiased,-0.48479679,0.744741848,CM009478.1,LG3,A
RBBH-10036,-0.040482639,0.94388022,Unbiased,-0.241453981,0.89471414,CM009472.1,LG1,A
RBBH-10037,0.165494767,0.82715402,Unbiased,0.000627108,0.999658304,CM009478.1,LG3,A
RBBH-10038,0.624661013,0.381969322,Unbiased,-0.091452743,0.977420535,CM009473.1,LG10,A
RBBH-10039,-0.295868016,0.470695042,Unbiased,0.752769873,0.147454865,CM009483.1,LG8,A
RBBH-1004,-0.400253427,0.32863324,Unbiased,-0.064465688,0.977420535,CM009478.1,LG3,A
RBBH-10040,-0.038639902,0.972523531,Unbiased,-0.346580009,0.926271741,CM009482.1,LG7,A
RBBH-10042,-0.456152243,0.488797146,Unbiased,0.784340986,0.436351038,CM009478.1,LG3,A
RBBH-10043,0.18330853,0.694848951,Unbiased,-0.913828498,0.050449701,NA,NA,NA
RBBH-10044,0.348903567,0.415999472,Unbiased,-0.082563734,0.976896941,CM009477.1,LG2,A
RBBH-10045,0.486163003,0.38370886,Unbiased,-0.285846201,0.875719543,CM009480.1,LG5,A
RBBH-10046,0.113897632,0.823472339,Unbiased,-0.101935118,0.963826733,CM009472.1,LG1,A
RBBH-10047,0.68842685,0.209980555,Unbiased,0.221352329,0.897129524,CM009483.1,LG8,A
RBBH-10048,0.149826112,0.772117416,Unbiased,1.070458865,0.028716273,CM009479.1,LG4,A
RBBH-10049,-0.133963311,0.877156333,Unbiased,-0.133555097,0.972603389,CM009475.1,LG12,A
RBBH-1005,-1.037368885,0.015846594,male_biased,-0.777884375,0.261054252,CM009477.1,LG2,A
RBBH-10050,-1.08878258,0.011474512,male_biased,NA,NA,CM009472.1,LG1,A
RBBH-10051,-0.645654987,0.099703641,Unbiased,0.436347001,0.677494731,CM009473.1,LG10,A
RBBH-10052,-0.455629926,0.465779818,Unbiased,0.294070755,0.904484612,CM009484.1,LG9,A
RBBH-10053,1.868138002,2.64E-05,female_biased,-0.147617368,0.956361748,CM009473.1,LG10,A
RBBH-10054,-0.012316138,0.991715058,Unbiased,NA,NA,CM009480.1,LG5,A
RBBH-10055,-0.485267526,0.277766838,Unbiased,-0.32627275,0.831129313,CM009480.1,LG5,A
RBBH-10056,-0.848251126,0.173661752,Unbiased,0.834239437,0.442798325,CM009481.1,LG6,A
RBBH-10058,0.210650367,0.615866879,Unbiased,0.086595063,0.969965601,CM009482.1,LG7,A
RBBH-10059,0.910884012,0.207513375,Unbiased,1.083618979,0.700002629,CM009482.1,LG7,A
RBBH-1006,-0.384294371,0.750932699,Unbiased,0.685021332,0.838686489,PGFK01001247.1,NA,NA
RBBH-10060,1.72272038,0.015785548,female_biased,0.03910501,0.993054497,CM009481.1,LG6,A
RBBH-10061,-0.52912872,0.296049189,Unbiased,-0.30948628,0.882861974,CM009482.1,LG7,A
RBBH-10062,-0.050283527,0.949115364,Unbiased,0.250544079,0.914394487,CM009472.1,LG1,A
RBBH-10063,0.384871614,0.403553427,Unbiased,-0.392718536,0.732229633,CM009474.1,LG11,A
RBBH-10064,0.32841416,0.58204285,Unbiased,-0.828436737,0.388365827,CM009484.1,LG9,A
RBBH-10068,-1.388566282,0.143381878,Unbiased,NA,NA,CM009478.1,LG3,A
RBBH-10069,0.481831546,0.285649122,Unbiased,-0.290471607,0.86981334,PGFK01001376.1,NA,NA
RBBH-1007,-2.826343877,1.13E-07,male_biased,-0.223263078,0.955087211,CM009481.1,LG6,A
RBBH-10071,0.096242702,0.920512724,Unbiased,-0.0824274,0.977050728,CM009479.1,LG4,A
RBBH-10072,0.196269575,0.681304854,Unbiased,0.140520904,0.948218965,CM009474.1,LG11,A
RBBH-10074,-0.0896895,0.944502154,Unbiased,0.230730277,0.969965601,CM009482.1,LG7,A
RBBH-10075,-0.584209995,0.690090329,Unbiased,0.660556988,0.902622286,CM009472.1,LG1,A
RBBH-10079,-0.580976666,0.167505566,Unbiased,0.863258522,0.080634815,CM009475.1,LG12,A
RBBH-1008,1.18146272,0.039542662,female_biased,-0.382830787,0.890403147,CM009480.1,LG5,A
RBBH-10080,0.239416942,0.624424342,Unbiased,-0.406296544,0.703569742,CM009476.1,LG13,X
RBBH-10082,0.502212358,0.435829948,Unbiased,0.152259448,0.969965601,CM009472.1,LG1,A
RBBH-10084,-0.189754512,0.845743442,Unbiased,0.6801248,0.540769277,CM009483.1,LG8,A
RBBH-10085,-0.476220968,0.454287745,Unbiased,0.647255765,0.501386493,PGFK01002404.1,NA,NA
RBBH-10086,0.113045357,0.82715402,Unbiased,0.265200775,0.891646315,CM009479.1,LG4,A
RBBH-10087,0.652792759,0.115739911,Unbiased,0.106142198,0.96281612,CM009481.1,LG6,A
RBBH-10088,0.178529449,0.700156642,Unbiased,-0.095048499,0.969965601,CM009478.1,LG3,A
RBBH-1009,0.321053061,0.809308499,Unbiased,-0.621983416,0.902622286,CM009472.1,LG1,A
RBBH-10090,-1.613888678,0.001323878,male_biased,-0.381113236,0.886438527,PGFK01003155.1,NA,NA
RBBH-10092,0.059457154,0.943512937,Unbiased,0.302772475,0.875719543,CM009475.1,LG12,A
RBBH-10094,-0.160112831,0.750718272,Unbiased,-0.129912351,0.955087211,CM009479.1,LG4,A
RBBH-10095,-0.294425999,0.623337756,Unbiased,-0.099381647,0.972818862,CM009479.1,LG4,A
RBBH-10096,0.692857148,0.538388993,Unbiased,1.117845674,0.678075283,CM009477.1,LG2,A
RBBH-10097,-0.474180418,0.343849977,Unbiased,0.330090306,0.844819869,CM009483.1,LG8,A
RBBH-10098,0.493090301,0.336634979,Unbiased,-0.054917894,0.981639634,CM009479.1,LG4,A
RBBH-101,-0.388732039,0.595112131,Unbiased,0.347717644,0.893283402,CM009478.1,LG3,A
RBBH-10100,-0.317089081,0.716480316,Unbiased,-0.320432621,0.89471414,NA,NA,NA
RBBH-10102,1.413946494,7.14E-06,female_biased,0.155874171,0.94213596,CM009484.1,LG9,A
RBBH-10103,-0.095811128,0.885168988,Unbiased,-0.12691653,0.965658658,CM009474.1,LG11,A
RBBH-10104,0.228730833,0.61860857,Unbiased,-0.229664877,0.889362733,CM009478.1,LG3,A
RBBH-10105,-0.548688631,0.578550165,Unbiased,-1.089239066,0.542990301,CM009477.1,LG2,A
RBBH-10106,-0.988490099,0.177240299,Unbiased,-0.324835708,0.963599003,PGFK01001247.1,NA,NA
RBBH-10107,0.06873334,0.92021639,Unbiased,0.175671925,0.944022962,CM009484.1,LG9,A
RBBH-10108,0.745049161,0.047852955,female_biased,0.035129406,0.98810317,CM009478.1,LG3,A
RBBH-10109,-1.817896,5.90E-07,male_biased,-1.324787841,0.021609362,CM009477.1,LG2,A
RBBH-1011,-1.100445882,0.02416884,male_biased,0.542113757,0.724527051,CM009481.1,LG6,A
RBBH-10110,-0.734078578,0.28566973,Unbiased,-0.697954227,0.651372112,PGFK01001659.1,NA,NA
RBBH-10111,-0.145380815,0.830268144,Unbiased,-0.044356486,0.991148179,CM009484.1,LG9,A
RBBH-10112,-0.153642403,0.820151766,Unbiased,-0.356211037,0.886994185,CM009479.1,LG4,A
RBBH-10114,-0.102586643,0.89055845,Unbiased,-0.623911497,0.625463712,NA,NA,NA
RBBH-10115,0.22043555,0.70029024,Unbiased,-0.048366965,0.983005198,CM009476.1,LG13,X
RBBH-10116,0.803048908,0.281547955,Unbiased,-0.339641211,0.913458548,CM009473.1,LG10,A
RBBH-10117,0.404995505,0.297194713,Unbiased,-0.005820191,0.997135654,CM009472.1,LG1,A
RBBH-10118,-0.665318231,0.128392018,Unbiased,-0.798170358,0.160902924,NA,NA,NA
RBBH-10119,-2.807668819,2.01E-12,male_biased,1.124898566,0.018548432,CM009483.1,LG8,A
RBBH-1012,0.594973236,0.122814707,Unbiased,0.243425455,0.936437248,CM009484.1,LG9,A
RBBH-10120,0.540956421,0.245904897,Unbiased,-0.068097947,0.977420535,CM009479.1,LG4,A
RBBH-10121,-0.52551317,0.617385714,Unbiased,0.966186983,0.601928094,CM009483.1,LG8,A
RBBH-10122,-0.246190282,0.56973842,Unbiased,-0.039621784,0.986581726,CM009478.1,LG3,A
RBBH-10123,-0.402622381,0.447838689,Unbiased,-0.067889392,0.978814856,CM009483.1,LG8,A
RBBH-10124,0.346923147,0.479056752,Unbiased,-0.078088261,0.975124862,CM009478.1,LG3,A
RBBH-10125,-0.084751158,0.961233327,Unbiased,0.192016973,0.976059555,CM009481.1,LG6,A
RBBH-10126,0.694712399,0.050130944,Unbiased,-0.442875535,0.568016801,PGFK01000374.1,NA,NA
RBBH-10127,-0.458185055,0.505377774,Unbiased,0.336737888,0.919240353,CM009472.1,LG1,A
RBBH-10128,0.584671848,0.160472433,Unbiased,0.05770109,0.980143247,CM009480.1,LG5,A
RBBH-10129,0.669854017,0.165036719,Unbiased,-0.062228229,0.980143247,CM009481.1,LG6,A
RBBH-1013,0.562698655,0.522136491,Unbiased,-0.592551273,0.832456644,CM009483.1,LG8,A
RBBH-10130,-0.377412315,0.706581814,Unbiased,0.125029863,0.976896941,CM009478.1,LG3,A
RBBH-10131,-0.189599116,0.867228442,Unbiased,0.27348453,0.944094489,CM009478.1,LG3,A
RBBH-10132,0.740083902,0.324287255,Unbiased,0.078887326,0.979252021,CM009474.1,LG11,A
RBBH-10134,-0.424994529,0.316245193,Unbiased,-0.735240812,0.186371934,CM009478.1,LG3,A
RBBH-10135,-0.098356162,0.899260616,Unbiased,-0.431611942,0.776836313,CM009479.1,LG4,A
RBBH-10136,-0.916835649,0.045827454,male_biased,-0.024572877,0.993146651,PGFK01001247.1,NA,NA
RBBH-10137,-0.629122771,0.145024298,Unbiased,0.458620826,0.674815187,CM009479.1,LG4,A
RBBH-10138,0.181800823,0.74506782,Unbiased,-0.09600281,0.972938545,CM009476.1,LG13,X
RBBH-10139,0.357623942,0.741887746,Unbiased,0.900146064,0.701318272,CM009482.1,LG7,A
RBBH-10140,0.422604695,0.36803847,Unbiased,0.028630934,0.991832888,CM009480.1,LG5,A
RBBH-10141,0.597288484,0.218735879,Unbiased,-0.611858559,0.517781098,NA,NA,NA
RBBH-10142,0.766892226,0.109041275,Unbiased,0.541069765,0.554251032,CM009473.1,LG10,A
RBBH-10143,-0.92952833,0.176925071,Unbiased,-2.160496517,9.00E-05,CM009475.1,LG12,A
RBBH-10144,0.477380726,0.380936949,Unbiased,-0.393162438,0.808007064,CM009476.1,LG13,X
RBBH-10145,0.423911698,0.281257511,Unbiased,-0.333865063,0.763240364,CM009478.1,LG3,A
RBBH-10146,0.039758198,0.97356877,Unbiased,0.494106659,0.773205762,CM009479.1,LG4,A
RBBH-10148,3.163883504,0.000777754,female_biased,0.841410303,0.715543669,CM009483.1,LG8,A
RBBH-10149,0.587605378,0.381615633,Unbiased,-0.105703683,0.972603389,PGFK01003638.1,NA,NA
RBBH-1015,0.339746478,0.629664874,Unbiased,0.628520573,0.648261699,CM009478.1,LG3,A
RBBH-10150,0.601768141,0.339145502,Unbiased,0.079876022,0.979009086,CM009477.1,LG2,A
RBBH-10153,0.489063478,0.434445978,Unbiased,-0.0412514,0.989706946,CM009483.1,LG8,A
RBBH-10154,-0.532921006,0.408784381,Unbiased,-0.152361058,0.96951288,CM009479.1,LG4,A
RBBH-10157,-0.089019546,0.894592211,Unbiased,0.136453893,0.964629528,CM009473.1,LG10,A
RBBH-10158,1.03941931,0.062194232,Unbiased,-0.895523264,0.498182842,CM009479.1,LG4,A
RBBH-10159,0.491149738,0.408271346,Unbiased,0.269616202,0.896550346,CM009473.1,LG10,A
RBBH-1016,-0.30319748,0.689406288,Unbiased,0.580441564,0.593159107,CM009475.1,LG12,A
RBBH-10161,1.361137269,0.079075169,Unbiased,0.194017642,0.955087211,CM009478.1,LG3,A
RBBH-10162,-0.026480286,0.97359434,Unbiased,0.47596668,0.779199416,CM009472.1,LG1,A
RBBH-10164,-0.034263563,0.964756078,Unbiased,0.444286921,0.802974586,CM009472.1,LG1,A
RBBH-10165,-0.532462668,0.326813869,Unbiased,0.40112117,0.777387597,CM009478.1,LG3,A
RBBH-10166,0.345334349,0.482788441,Unbiased,-0.700102378,0.366709204,CM009478.1,LG3,A
RBBH-10167,0.253167248,0.649630842,Unbiased,0.050745067,0.982334829,CM009473.1,LG10,A
RBBH-10168,-1.018075978,0.173507427,Unbiased,0.366859294,0.911316615,CM009474.1,LG11,A
RBBH-10169,1.246929589,0.048060965,female_biased,0.072911855,0.983968305,PGFK01003056.1,NA,NA
RBBH-1017,-0.059014958,0.930801865,Unbiased,-0.005630806,0.997455804,CM009478.1,LG3,A
RBBH-10170,-0.549874027,0.513413586,Unbiased,-0.350493653,0.914939529,CM009478.1,LG3,A
RBBH-10174,-0.562664388,0.13995536,Unbiased,0.087707166,0.970358009,CM009477.1,LG2,A
RBBH-10176,-0.026737526,0.961995384,Unbiased,-0.228270458,0.882701249,CM009479.1,LG4,A
RBBH-10177,0.031874995,0.980013367,Unbiased,-0.609279994,0.818627246,CM009479.1,LG4,A
RBBH-10178,-0.73442546,0.329328193,Unbiased,0.370284683,0.907294439,CM009476.1,LG13,X
RBBH-10179,1.027230765,0.000840712,female_biased,0.293792452,0.853012299,CM009483.1,LG8,A
RBBH-1018,-0.052118553,0.947357252,Unbiased,0.786210933,0.540238897,CM009480.1,LG5,A
RBBH-10180,0.446634564,0.567769274,Unbiased,NA,NA,CM009478.1,LG3,A
RBBH-10181,-0.51826149,0.502418792,Unbiased,0.240551741,0.962260904,PGFK01000374.1,NA,NA
RBBH-10182,0.205060846,0.704021136,Unbiased,0.927956604,0.352182043,NA,NA,NA
RBBH-10184,-0.288298756,0.572407228,Unbiased,-0.710720027,0.281539585,PGFK01002832.1,NA,NA
RBBH-10185,0.309240893,0.509851402,Unbiased,0.191440339,0.916983236,CM009472.1,LG1,A
RBBH-10186,0.564422146,0.112133179,Unbiased,-1.20188676,0.000732572,CM009474.1,LG11,A
RBBH-10188,-0.06481765,0.945202579,Unbiased,-0.782060013,0.716496773,CM009479.1,LG4,A
RBBH-10189,-0.473779887,0.445877149,Unbiased,0.09923096,0.976578715,CM009478.1,LG3,A
RBBH-10190,-0.209190628,0.694062641,Unbiased,0.213948702,0.913458548,CM009480.1,LG5,A
RBBH-10191,0.937121853,0.467022538,Unbiased,-1.590991686,0.381826979,CM009473.1,LG10,A
RBBH-10192,-0.701616888,0.061692797,Unbiased,0.048127064,0.983288495,CM009478.1,LG3,A
RBBH-10193,-1.258628357,0.004116853,male_biased,0.58464592,0.587611698,CM009476.1,LG13,X
RBBH-10194,-0.198836834,0.872831807,Unbiased,0.834166763,0.720685987,CM009473.1,LG10,A
RBBH-10195,-0.527241598,0.169334476,Unbiased,0.21403854,0.911316615,CM009478.1,LG3,A
RBBH-10196,0.705823896,0.129950692,Unbiased,1.018041362,0.051777946,CM009482.1,LG7,A
RBBH-10199,-1.073057608,0.303310019,Unbiased,0.124828706,0.980477705,CM009478.1,LG3,A
RBBH-102,0.212528564,0.717537366,Unbiased,0.028900377,0.993054497,CM009482.1,LG7,A
RBBH-1020,-0.64204219,0.189107212,Unbiased,0.69736054,0.370536895,CM009484.1,LG9,A
RBBH-10200,0.052923178,0.969843553,Unbiased,0.235099572,0.965658658,CM009477.1,LG2,A
RBBH-10201,0.066135428,0.91142189,Unbiased,-0.570797982,0.678075283,CM009483.1,LG8,A
RBBH-10202,-0.977321348,0.094639496,Unbiased,-0.890921677,0.346152167,CM009472.1,LG1,A
RBBH-10203,0.071285433,0.885168988,Unbiased,-0.01676018,0.994341402,CM009478.1,LG3,A
RBBH-10206,-1.355485502,0.000308109,male_biased,0.317219741,0.866251376,CM009480.1,LG5,A
RBBH-10207,0.011423959,0.986895022,Unbiased,-0.157103164,0.944377767,CM009479.1,LG4,A
RBBH-10208,-0.166590015,0.728952806,Unbiased,0.090231947,0.970358009,CM009483.1,LG8,A
RBBH-10209,-0.15101438,0.759244528,Unbiased,-0.150387786,0.945573623,CM009479.1,LG4,A
RBBH-1021,-0.717534756,0.380061342,Unbiased,-0.237456282,0.964706649,CM009474.1,LG11,A
RBBH-10210,-0.017190377,0.986895022,Unbiased,-0.524448171,0.824989298,CM009481.1,LG6,A
RBBH-10211,-0.551441108,0.390217697,Unbiased,0.484547768,0.811155464,CM009472.1,LG1,A
RBBH-10212,-0.212070583,0.653050713,Unbiased,-0.157844155,0.938549605,CM009483.1,LG8,A
RBBH-10213,-0.257118697,0.660524043,Unbiased,0.002048415,0.99903039,CM009480.1,LG5,A
RBBH-10214,0.092202771,0.902954709,Unbiased,-0.152976882,0.963952656,CM009479.1,LG4,A
RBBH-10215,0.56956816,0.20449016,Unbiased,1.14828914,0.090395448,CM009482.1,LG7,A
RBBH-10216,0.883297787,0.009914755,female_biased,-0.648497552,0.321486887,CM009483.1,LG8,A
RBBH-10217,-1.11261137,0.03626298,male_biased,-0.429145803,0.785261589,PGFK01001818.1,NA,NA
RBBH-10218,0.100538423,0.860524357,Unbiased,0.106856492,0.967645276,CM009474.1,LG11,A
RBBH-1022,4.617071356,3.15E-27,female_biased,-0.074260739,0.982302496,PGFK01001247.1,NA,NA
RBBH-10220,-0.425860599,0.404588997,Unbiased,0.684330958,0.400826894,CM009484.1,LG9,A
RBBH-10221,0.889129257,0.029809157,female_biased,-0.005398157,0.997698322,PGFK01000384.1,NA,NA
RBBH-10222,-0.286936606,0.641361516,Unbiased,0.973268644,0.321486887,CM009482.1,LG7,A
RBBH-10223,0.426470792,0.546597114,Unbiased,-0.494430512,0.87001758,CM009479.1,LG4,A
RBBH-10224,0.634288431,0.346326389,Unbiased,0.040047551,0.987057414,CM009479.1,LG4,A
RBBH-10226,1.104731653,0.007572839,female_biased,-0.720313311,0.275798247,CM009478.1,LG3,A
RBBH-10229,-0.853715587,0.080490855,Unbiased,0.338117612,0.86981334,CM009479.1,LG4,A
RBBH-1023,0.685684788,0.130921838,Unbiased,-1.015322407,0.048503475,CM009478.1,LG3,A
RBBH-10230,-0.58882613,0.502810165,Unbiased,0.795177474,0.651373785,PGFK01002391.1,NA,NA
RBBH-10231,0.049442789,0.96159564,Unbiased,0.681179841,0.513316848,CM009480.1,LG5,A
RBBH-10232,0.359199286,0.464964831,Unbiased,-0.775138352,0.27431191,CM009479.1,LG4,A
RBBH-10233,0.093909572,0.886905747,Unbiased,0.018148978,0.995312739,PGFK01001247.1,NA,NA
RBBH-10234,0.293126156,0.644376079,Unbiased,0.66068615,0.516860008,CM009478.1,LG3,A
RBBH-10235,0.271166645,0.874374859,Unbiased,-1.278958529,0.727845633,CM009478.1,LG3,A
RBBH-10238,-0.293049264,0.538915011,Unbiased,-0.111768219,0.965681626,CM009474.1,LG11,A
RBBH-10239,0.020012073,0.97979678,Unbiased,0.087428656,0.977001374,CM009478.1,LG3,A
RBBH-1024,0.159389882,0.791478323,Unbiased,0.331233461,0.859876849,CM009474.1,LG11,A
RBBH-10240,-0.186476769,0.772720082,Unbiased,-0.826578934,0.360422582,CM009483.1,LG8,A
RBBH-10241,-0.664827737,0.096470865,Unbiased,0.110857776,0.968620551,CM009478.1,LG3,A
RBBH-10242,0.289608451,0.768169832,Unbiased,-0.559116343,0.831758803,CM009484.1,LG9,A
RBBH-10243,1.041640308,0.094021797,Unbiased,-0.3226804,0.906402655,CM009474.1,LG11,A
RBBH-10244,-0.067527057,0.894602223,Unbiased,-0.379899705,0.701781396,CM009479.1,LG4,A
RBBH-10245,-1.409294132,0.016867252,male_biased,0.256366228,0.944632517,CM009478.1,LG3,A
RBBH-10246,0.488009289,0.577159697,Unbiased,0.487652658,0.869482147,CM009477.1,LG2,A
RBBH-10249,-1.167265417,0.009975825,male_biased,0.007217589,0.997135654,CM009480.1,LG5,A
RBBH-1025,0.281796677,0.574469424,Unbiased,0.125787683,0.962260904,CM009479.1,LG4,A
RBBH-10250,-2.326683457,1.87E-09,male_biased,1.520397023,0.054804914,CM009477.1,LG2,A
RBBH-10251,0.197278183,0.762321216,Unbiased,0.689236488,0.60837822,CM009482.1,LG7,A
RBBH-10253,1.098390859,0.002017884,female_biased,-0.238502872,0.914939529,CM009482.1,LG7,A
RBBH-10255,1.875930621,1.40E-05,female_biased,0.54117298,0.646390383,PGFK01001247.1,NA,NA
RBBH-10256,-1.10426449,0.164260078,Unbiased,0.214909187,0.963952656,CM009475.1,LG12,A
RBBH-10258,-1.438603684,0.016291446,male_biased,1.037129741,0.23061556,PGFK01000128.1,NA,NA
RBBH-10259,-0.549521388,0.340771265,Unbiased,-0.015280272,0.995764028,CM009478.1,LG3,A
RBBH-1026,1.695537983,0.123565184,Unbiased,0.093082728,0.98810317,CM009472.1,LG1,A
RBBH-10260,-0.151991006,0.867877057,Unbiased,-2.203644717,0.03649091,CM009472.1,LG1,A
RBBH-10261,-0.8837373,0.160434076,Unbiased,0.098836838,0.977420535,CM009477.1,LG2,A
RBBH-10262,0.242250139,0.741158256,Unbiased,0.885186251,0.411512951,CM009480.1,LG5,A
RBBH-10263,0.724839693,0.383762997,Unbiased,0.54408556,0.6639609,PGFK01000688.1,NA,NA
RBBH-10264,0.13036968,0.8469195,Unbiased,0.062016901,0.980477705,CM009476.1,LG13,X
RBBH-10265,-0.169420269,0.732160009,Unbiased,-0.07381519,0.977001374,NA,NA,NA
RBBH-10266,-0.538956377,0.250398812,Unbiased,-0.986538709,0.161499698,CM009478.1,LG3,A
RBBH-10267,0.298121078,0.554805536,Unbiased,-0.368737287,0.876573803,NA,NA,NA
RBBH-10268,0.494764112,0.338609816,Unbiased,-0.022253647,0.994341402,CM009479.1,LG4,A
RBBH-1027,0.855309411,0.343914562,Unbiased,NA,NA,CM009483.1,LG8,A
RBBH-10270,1.104440405,0.089116992,Unbiased,0.976211469,0.284872287,CM009480.1,LG5,A
RBBH-10271,-0.504607289,0.603591506,Unbiased,1.282651411,0.424492611,CM009482.1,LG7,A
RBBH-10272,-0.414729753,0.46133883,Unbiased,0.334348414,0.886571997,CM009473.1,LG10,A
RBBH-10273,0.778627077,0.018550295,female_biased,0.075067512,0.974365244,CM009477.1,LG2,A
RBBH-10274,-0.408006295,0.527253618,Unbiased,0.790299212,0.401552649,PGFK01000663.1,NA,NA
RBBH-10275,-0.208742218,0.891722099,Unbiased,0.890563349,0.801936261,CM009478.1,LG3,A
RBBH-10276,-0.317326404,0.610116719,Unbiased,0.398029554,0.80238133,PGFK01003485.1,NA,NA
RBBH-10277,0.925366421,0.00673083,female_biased,0.057940205,0.979174801,CM009478.1,LG3,A
RBBH-10279,-1.893025464,0.145020311,Unbiased,-0.103910445,0.989925392,CM009483.1,LG8,A
RBBH-1028,-0.185368144,0.693328349,Unbiased,0.278583934,0.850537285,CM009481.1,LG6,A
RBBH-10280,-1.267589933,0.000471224,male_biased,-0.145075237,0.952376597,CM009472.1,LG1,A
RBBH-10281,-0.198242836,0.829574082,Unbiased,-0.317056332,0.928474367,CM009481.1,LG6,A
RBBH-10282,-0.916454092,0.204344934,Unbiased,NA,NA,PGFK01000666.1,NA,NA
RBBH-10283,2.625286246,4.15E-07,female_biased,-0.007512225,0.997632865,CM009482.1,LG7,A
RBBH-10284,0.247542431,0.685015199,Unbiased,-0.286003991,0.894928192,CM009483.1,LG8,A
RBBH-10285,-0.149247402,0.830312655,Unbiased,-0.233277695,0.93978797,CM009476.1,LG13,X
RBBH-10286,0.231644392,0.63556285,Unbiased,-0.224793418,0.903271824,CM009478.1,LG3,A
RBBH-10287,-0.118964377,0.851822301,Unbiased,-0.131051848,0.963546051,CM009473.1,LG10,A
RBBH-1029,0.693885283,0.135346474,Unbiased,-0.249399429,0.90651243,CM009478.1,LG3,A
RBBH-10290,-0.648610063,0.48079291,Unbiased,0.982828205,0.600360498,CM009474.1,LG11,A
RBBH-10291,0.748768174,0.357333325,Unbiased,-0.112191494,0.977420535,PGFK01002481.1,NA,NA
RBBH-10292,-0.125910543,0.835603708,Unbiased,0.374592353,0.78459772,CM009478.1,LG3,A
