genename,Tce_RT_log2FC_SB,Tce_RT_FDR_SB,Tce_RT_sexbias,Tce_RT_log2FC_SA,Tce_RT_FDR_SA,scaf_name,linkagegroup,chr_type
RBBH-16592,-0.267521355,0.681734497,Unbiased,0.579160945,0.519771947,CM009479.1,LG4,A
RBBH-16593,0.140839524,0.801200451,Unbiased,-0.854314254,0.105815001,CM009479.1,LG4,A
RBBH-16594,0.612900825,0.184487097,Unbiased,0.014838912,0.988872672,CM009478.1,LG3,A
RBBH-16597,0.247790899,0.837204675,Unbiased,0.483878252,0.78992347,CM009478.1,LG3,A
RBBH-16598,-5.458293586,7.16E-15,male_biased,-0.295999199,0.845912234,CM009484.1,LG9,A
RBBH-166,1.613613705,0.013368573,female_biased,0.51217254,0.572643484,CM009478.1,LG3,A
RBBH-16601,0.359975325,0.536191108,Unbiased,-0.080183141,0.948918541,CM009483.1,LG8,A
RBBH-16602,1.554181699,0.011944399,female_biased,0.173771836,0.87813989,CM009476.1,LG13,X
RBBH-16603,0.649358858,0.156807167,Unbiased,-0.340173452,0.670228588,CM009483.1,LG8,A
RBBH-16607,-1.830238637,0.062539085,Unbiased,3.331579435,0.001439555,CM009480.1,LG5,A
RBBH-16608,-0.151590424,0.837574855,Unbiased,0.222123396,0.863387019,CM009483.1,LG8,A
RBBH-1661,1.60871918,0.000126568,female_biased,-0.447937147,0.562488669,CM009472.1,LG1,A
RBBH-16610,1.667306125,0.035430835,female_biased,-1.523696963,0.169840456,CM009478.1,LG3,A
RBBH-16611,0.290685626,0.591018845,Unbiased,-0.396538914,0.664217357,CM009478.1,LG3,A
RBBH-16613,-1.284608249,0.003277979,male_biased,0.030963541,0.978437464,CM009482.1,LG7,A
RBBH-16614,-0.219478544,0.728753685,Unbiased,-0.296658237,0.755201929,CM009479.1,LG4,A
RBBH-16615,-1.296834001,0.003904724,male_biased,1.709130313,0.000344377,PGFK01001508.1,NA,NA
RBBH-16616,0.060645764,0.957775977,Unbiased,0.442955503,0.803993714,PGFK01000994.1,NA,NA
RBBH-16617,-0.364095982,0.46896589,Unbiased,0.047556002,0.966763126,CM009482.1,LG7,A
RBBH-16618,-1.366173092,0.003109777,male_biased,-0.135161016,0.902324438,CM009474.1,LG11,A
RBBH-16619,-2.106149327,0.015190955,male_biased,2.428060727,0.096261404,CM009479.1,LG4,A
RBBH-16620,1.373664316,0.054163415,Unbiased,2.071109538,0.114325194,CM009472.1,LG1,A
RBBH-16622,0.918272551,0.062033197,Unbiased,-0.035073099,0.980533662,CM009474.1,LG11,A
RBBH-16624,-1.152395002,0.019183729,male_biased,0.397399864,0.645219894,CM009472.1,LG1,A
RBBH-16626,-0.630428551,0.275113703,Unbiased,-0.427153083,0.592966922,CM009478.1,LG3,A
RBBH-16627,0.646407346,0.298442483,Unbiased,0.345627151,0.735145951,CM009476.1,LG13,X
RBBH-16628,2.37898856,1.49E-06,female_biased,-0.589181888,0.560639232,CM009482.1,LG7,A
RBBH-1663,2.221422921,0.016054256,female_biased,-1.087847123,0.487005897,CM009484.1,LG9,A
RBBH-16630,-1.186046082,0.433857714,Unbiased,1.282275516,0.637846113,NA,NA,NA
RBBH-16631,2.159799157,0.000350923,female_biased,-0.134966278,0.900872905,CM009473.1,LG10,A
RBBH-16632,-0.44269677,0.368407915,Unbiased,0.176534329,0.86074239,CM009478.1,LG3,A
RBBH-16633,-0.536084455,0.293600036,Unbiased,0.196220263,0.846627213,CM009478.1,LG3,A
RBBH-16634,1.975718866,0.000235136,female_biased,0.526683392,0.542064647,CM009478.1,LG3,A
RBBH-16635,0.304619465,0.660155547,Unbiased,0.02177856,0.988872672,CM009477.1,LG2,A
RBBH-16636,-0.576705003,0.528360064,Unbiased,-1.149419348,0.417363291,PGFK01003155.1,NA,NA
RBBH-16637,-2.827602987,0.000988764,male_biased,1.078835978,0.433051781,CM009479.1,LG4,A
RBBH-16639,2.263551435,0.014898444,female_biased,-1.531403623,0.291013952,PGFK01001247.1,NA,NA
RBBH-16640,-0.085440674,0.914930034,Unbiased,0.413464301,0.74814488,CM009480.1,LG5,A
RBBH-16641,-0.403294943,0.709543845,Unbiased,0.957519186,0.544764931,CM009483.1,LG8,A
RBBH-16643,2.458900408,1.52E-05,female_biased,-0.631780672,0.442365867,CM009482.1,LG7,A
RBBH-16647,-1.052782949,0.058931379,Unbiased,-1.009325503,0.250319957,PGFK01001247.1,NA,NA
RBBH-16649,-0.915305531,0.079317647,Unbiased,0.573357707,0.558038197,CM009479.1,LG4,A
RBBH-1665,0.340860302,0.559179102,Unbiased,0.357445666,0.698580856,CM009478.1,LG3,A
RBBH-16651,0.833507568,0.114443156,Unbiased,-0.488439761,0.581931007,CM009481.1,LG6,A
RBBH-16654,-0.94240101,0.047635882,male_biased,-0.615792662,0.427730947,PGFK01000666.1,NA,NA
RBBH-16655,-3.164898431,7.63E-10,male_biased,1.871735329,0.003249712,CM009472.1,LG1,A
RBBH-16656,-0.746025267,0.15067771,Unbiased,-0.340740965,0.727008001,CM009477.1,LG2,A
RBBH-16657,3.01930711,0.000308116,female_biased,0.722708728,0.565791476,CM009473.1,LG10,A
RBBH-16658,0.824654396,0.065251803,Unbiased,0.479294754,0.52812404,CM009478.1,LG3,A
RBBH-16659,0.14663268,0.849622805,Unbiased,0.172694245,0.881863852,CM009480.1,LG5,A
RBBH-1666,0.353353855,0.633317776,Unbiased,-1.401116678,0.046306926,CM009481.1,LG6,A
RBBH-16660,-4.129342138,3.39E-09,male_biased,-0.158335833,0.921158874,CM009480.1,LG5,A
RBBH-16662,-1.23862359,0.045062712,male_biased,0.878176342,0.203463062,CM009481.1,LG6,A
RBBH-16664,-0.168444903,0.750529593,Unbiased,-0.310454556,0.684735607,CM009478.1,LG3,A
RBBH-16667,-0.110380866,0.853476274,Unbiased,-0.199025589,0.837970014,CM009481.1,LG6,A
RBBH-16668,-0.023718043,0.970892363,Unbiased,-0.900596945,0.137208606,CM009472.1,LG1,A
RBBH-16669,0.800361167,0.130682379,Unbiased,-0.705579592,0.423844305,CM009479.1,LG4,A
RBBH-1667,0.523181996,0.224748786,Unbiased,-0.022429068,0.983911989,CM009475.1,LG12,A
RBBH-16670,-0.493034282,0.34178141,Unbiased,0.690609746,0.343865693,CM009476.1,LG13,X
RBBH-16672,1.485908663,0.106954326,Unbiased,-1.173518668,0.417572027,CM009478.1,LG3,A
RBBH-16673,-1.831091738,0.001039453,male_biased,-0.262341302,0.844150322,CM009483.1,LG8,A
RBBH-16674,0.249460504,0.628830253,Unbiased,-0.358787694,0.636931472,CM009482.1,LG7,A
RBBH-16676,-3.222387126,2.61E-05,male_biased,0.879329479,0.595839305,CM009481.1,LG6,A
RBBH-16677,2.861773927,0.083788961,Unbiased,-4.59275392,0.037577224,CM009476.1,LG13,X
RBBH-16678,-0.663714138,0.247024638,Unbiased,0.244451292,0.844150322,CM009483.1,LG8,A
RBBH-1668,0.967162979,0.128293184,Unbiased,0.525454243,0.704728284,CM009483.1,LG8,A
RBBH-16680,-0.287167615,0.649426245,Unbiased,-0.190865779,0.8694213,PGFK01000225.1,NA,NA
RBBH-16681,8.775085395,6.28E-16,female_biased,-0.70213183,0.752001107,CM009478.1,LG3,A
RBBH-16682,1.796178401,0.002727981,female_biased,-2.091087437,0.000567571,CM009473.1,LG10,A
RBBH-16683,3.017083408,0.000245202,female_biased,0.43342129,0.797816228,PGFK01001788.1,NA,NA
RBBH-16684,-0.127231969,0.896471194,Unbiased,1.199510707,0.295748668,CM009481.1,LG6,A
RBBH-16685,-0.116638379,0.86042447,Unbiased,-0.677080995,0.40417607,CM009479.1,LG4,A
RBBH-16686,0.501718324,0.432248797,Unbiased,0.008641006,0.995280956,CM009483.1,LG8,A
RBBH-16687,-0.515909328,0.394665192,Unbiased,0.289513763,0.810619487,PGFK01000850.1,NA,NA
RBBH-16688,-0.232386696,0.649426245,Unbiased,-0.627335101,0.329833942,CM009481.1,LG6,A
RBBH-1669,-0.288817086,0.546192106,Unbiased,0.173625044,0.840799563,CM009472.1,LG1,A
RBBH-16692,-0.144032385,0.782860095,Unbiased,0.050020573,0.963183128,CM009481.1,LG6,A
RBBH-16693,-1.229821516,0.117353029,Unbiased,0.590037649,0.712230223,CM009478.1,LG3,A
RBBH-16694,-0.489160656,0.281188984,Unbiased,0.010137098,0.993092747,CM009473.1,LG10,A
RBBH-16695,-0.189510216,0.812026431,Unbiased,1.95961274,0.012905934,NA,NA,NA
RBBH-16697,0.150143134,0.75503608,Unbiased,0.233145145,0.768792743,CM009476.1,LG13,X
RBBH-16698,2.682439685,6.24E-09,female_biased,-0.712708434,0.289568277,CM009477.1,LG2,A
RBBH-16699,0.588396957,0.283494011,Unbiased,0.140782092,0.904210991,PGFK01003056.1,NA,NA
RBBH-167,1.128326385,0.012325294,female_biased,-0.488838265,0.524471233,PGFK01003215.1,NA,NA
RBBH-16701,0.561238612,0.503712444,Unbiased,-0.846261297,0.487812091,CM009481.1,LG6,A
RBBH-16702,0.958889537,0.044116039,female_biased,0.028090862,0.98192125,CM009478.1,LG3,A
RBBH-16703,1.134691961,0.124030745,Unbiased,0.311090669,0.854090507,CM009474.1,LG11,A
RBBH-16704,-0.273449598,0.738341013,Unbiased,-0.329481596,0.792086691,CM009479.1,LG4,A
RBBH-16706,-0.647730631,0.160207422,Unbiased,0.383162242,0.651963935,CM009478.1,LG3,A
RBBH-16707,-4.560630021,1.60E-17,male_biased,0.826334125,0.478250708,CM009481.1,LG6,A
RBBH-1671,-0.200286927,0.72468911,Unbiased,-0.755630098,0.275274756,CM009479.1,LG4,A
RBBH-16710,0.547290811,0.508773986,Unbiased,-0.419473622,0.720758971,CM009478.1,LG3,A
RBBH-16712,0.829789284,0.046928877,female_biased,0.199069906,0.80491927,PGFK01003155.1,NA,NA
RBBH-16713,0.617025924,0.377282492,Unbiased,0.329239076,0.801196829,CM009478.1,LG3,A
RBBH-16714,0.014368262,0.987565851,Unbiased,-0.162975754,0.900700948,CM009482.1,LG7,A
RBBH-16715,1.093772106,0.22573692,Unbiased,1.234366543,0.340431283,PGFK01002391.1,NA,NA
RBBH-16716,-1.037147989,0.017889419,male_biased,-0.376160845,0.668816276,CM009473.1,LG10,A
