genename,Tce_LG_log2FC_SB,Tce_LG_FDR_SB,Tce_LG_sexbias,Tce_LG_log2FC_SA,Tce_LG_FDR_SA,scaf_name,LG,chr_type
RBBH-17108,0.205424497,0.973416641,Unbiased,-0.667281577,0.216687093,CM009483.1,LG8,A
RBBH-17109,-0.134190914,0.985537895,Unbiased,0.563133534,0.415376327,CM009482.1,LG7,A
RBBH-17110,0.852591144,0.420244548,Unbiased,-0.552119949,0.176222815,CM009480.1,LG5,A
RBBH-17113,0.365246501,0.859789269,Unbiased,0.078777077,0.892573286,CM009474.1,LG11,A
RBBH-17115,-0.494739281,0.481456015,Unbiased,0.471701329,0.140303371,CM009473.1,LG10,A
RBBH-17116,-0.12410303,0.971489035,Unbiased,0.437863306,0.160377059,CM009475.1,LG12,A
RBBH-17117,-0.165807768,0.958878042,Unbiased,0.261480733,0.421649587,CM009479.1,LG4,A
RBBH-17119,0.09767742,0.984890179,Unbiased,0.242448992,0.638777003,PGFK01003638.1,NA,NA
RBBH-1712,0.003992637,0.999354231,Unbiased,0.206772607,0.674092103,PGFK01001673.1,NA,NA
RBBH-17120,0.577972018,0.727516352,Unbiased,0.245533322,0.659832975,CM009480.1,LG5,A
RBBH-17121,0.006022012,0.997882588,Unbiased,0.069247425,0.87804337,CM009474.1,LG11,A
RBBH-17122,0.161345183,0.978351944,Unbiased,0.414817299,0.268209093,CM009483.1,LG8,A
RBBH-17124,-0.147940398,0.969942104,Unbiased,0.689941641,0.009317702,CM009478.1,LG3,A
RBBH-17125,0.039696699,0.995442329,Unbiased,-0.222550444,0.493892023,CM009479.1,LG4,A
RBBH-17127,0.274865827,0.924093981,Unbiased,0.13924845,0.749978123,CM009479.1,LG4,A
RBBH-17128,-0.637428658,0.377412005,Unbiased,-0.017491706,0.976857364,CM009483.1,LG8,A
RBBH-1713,0.233090146,0.89785565,Unbiased,-0.091423292,0.805978734,CM009474.1,LG11,A
RBBH-17130,-0.356070939,0.710760463,Unbiased,0.193185439,0.538143274,CM009479.1,LG4,A
RBBH-17131,0.310843811,0.911220267,Unbiased,-0.071773863,0.903631986,CM009478.1,LG3,A
RBBH-17132,-1.669488466,0.000535439,male_biased,-0.199990829,0.700814579,PGFK01002391.1,NA,NA
RBBH-17133,-0.101301299,0.9874089,Unbiased,0.826298791,0.153385419,CM009483.1,LG8,A
RBBH-17134,-0.095279436,0.980980293,Unbiased,0.038113884,0.933855373,CM009478.1,LG3,A
RBBH-17137,-0.318377925,0.927249241,Unbiased,0.570551392,0.30992424,CM009480.1,LG5,A
RBBH-17138,-0.221246314,0.951878219,Unbiased,0.832844071,0.006407628,CM009483.1,LG8,A
RBBH-1714,-0.698457429,0.232081603,Unbiased,-0.005607486,0.991165203,CM009482.1,LG7,A
RBBH-17140,0.014944066,0.997686618,Unbiased,0.671059645,0.050924763,CM009477.1,LG2,A
RBBH-17141,0.2902589,0.959644784,Unbiased,0.53926625,0.359701963,CM009479.1,LG4,A
