genename,Tce_LG_log2FC_SB,Tce_LG_FDR_SB,Tce_LG_sexbias,Tce_LG_log2FC_SA,Tce_LG_FDR_SA,scaf_name,LG,chr_type
RBBH-10,-0.166153261,0.980980293,Unbiased,-0.317269458,0.77126196,PGFK01000938.1,NA,NA
RBBH-100,-0.079147364,0.99542733,Unbiased,0.093714869,0.916555911,CM009472.1,LG1,A
RBBH-1000,-0.493791495,0.665330446,Unbiased,-0.384879383,0.329009083,CM009479.1,LG4,A
RBBH-10000,-0.765893783,0.52256226,Unbiased,0.224708834,0.758988197,CM009474.1,LG11,A
RBBH-10006,0.820109747,0.202125626,Unbiased,-0.061189522,0.897573217,CM009475.1,LG12,A
RBBH-10007,0.045770716,0.99270358,Unbiased,-1.582677208,4.89E-10,CM009482.1,LG7,A
RBBH-1001,0.43384697,0.639358119,Unbiased,-0.109192056,0.775108827,CM009478.1,LG3,A
RBBH-10011,0.025283083,0.99594508,Unbiased,-0.002690338,0.994185887,CM009475.1,LG12,A
RBBH-10012,0.632300339,0.795504282,Unbiased,0.085315148,0.883001404,CM009483.1,LG8,A
RBBH-10013,0.683934843,0.654652527,Unbiased,-0.38693882,0.216687093,CM009480.1,LG5,A
RBBH-10017,0.273157707,0.924093981,Unbiased,-0.745465847,0.071300718,CM009482.1,LG7,A
RBBH-10020,-0.070462094,0.993903308,Unbiased,-0.16087552,0.823348143,PGFK01002391.1,NA,NA
RBBH-10021,0.164834656,0.965858001,Unbiased,0.268076709,0.368333419,CM009474.1,LG11,A
RBBH-10022,-0.169451597,0.978351944,Unbiased,0.197188069,0.693119762,CM009483.1,LG8,A
RBBH-10025,-0.179070383,0.978351944,Unbiased,-1.221490743,0.011315192,CM009483.1,LG8,A
RBBH-10026,-0.476643465,0.843267248,Unbiased,0.322080663,0.439301749,CM009478.1,LG3,A
RBBH-10027,-0.038482421,0.995088128,Unbiased,-0.358597326,0.268209093,CM009479.1,LG4,A
RBBH-10028,-0.185620375,0.951104896,Unbiased,0.456755545,0.156590758,PGFK01002391.1,NA,NA
RBBH-1003,-0.05764246,0.992060377,Unbiased,0.386738942,0.260667144,PGFK01000663.1,NA,NA
RBBH-10031,0.271465259,0.879927659,Unbiased,-0.174711869,0.613256491,CM009479.1,LG4,A
RBBH-10032,-0.203163367,0.965402002,Unbiased,0.032907303,0.961590311,CM009480.1,LG5,A
RBBH-10033,0.09772914,0.981904338,Unbiased,0.418442681,0.156697938,CM009484.1,LG9,A
RBBH-10034,0.143254042,0.965858001,Unbiased,-0.200850002,0.548483614,CM009482.1,LG7,A
RBBH-10035,0.106050841,0.980980293,Unbiased,-0.173181216,0.616697634,CM009478.1,LG3,A
RBBH-10036,0.010695053,0.997686618,Unbiased,0.061602903,0.908079819,CM009472.1,LG1,A
RBBH-10038,-0.782684843,0.734862661,Unbiased,-0.278994102,0.798124547,CM009473.1,LG10,A
RBBH-10039,0.112491693,0.978549372,Unbiased,0.975478473,0.000301689,CM009483.1,LG8,A
RBBH-1004,-0.268957029,0.908926919,Unbiased,0.208584305,0.643520093,CM009478.1,LG3,A
RBBH-10040,-0.614015625,0.775922349,Unbiased,0.568400983,0.186487478,CM009482.1,LG7,A
RBBH-10042,0.27906131,0.966142763,Unbiased,0.205100503,0.797774804,CM009478.1,LG3,A
RBBH-10043,-0.000518536,0.999905885,Unbiased,-0.470802604,0.659236747,NA,NA,NA
RBBH-10044,-0.289988679,0.861133015,Unbiased,-0.375245042,0.259060329,CM009477.1,LG2,A
RBBH-10045,0.535024606,0.865835089,Unbiased,-0.614194247,0.352112316,CM009480.1,LG5,A
RBBH-10046,-0.125714692,0.984255436,Unbiased,0.977226084,0.035902014,CM009472.1,LG1,A
RBBH-10047,0.666072392,0.614472474,Unbiased,0.082358051,0.899576827,CM009483.1,LG8,A
RBBH-10048,0.775674971,0.542525387,Unbiased,0.666091017,0.042642008,CM009479.1,LG4,A
RBBH-1005,-0.369910581,0.841127032,Unbiased,-0.500583905,0.135252278,CM009477.1,LG2,A
RBBH-10050,-0.270260379,0.985210004,Unbiased,NA,NA,CM009472.1,LG1,A
RBBH-10051,-0.482522352,0.806927131,Unbiased,-0.066325756,0.893656628,CM009473.1,LG10,A
RBBH-10052,-0.009200892,0.997686618,Unbiased,-0.197456451,0.523156513,CM009484.1,LG9,A
RBBH-10053,-0.193562419,0.994165474,Unbiased,1.364729021,0.263778971,CM009473.1,LG10,A
RBBH-10055,0.012946484,0.997686618,Unbiased,0.324384408,0.360447634,CM009480.1,LG5,A
RBBH-10056,-0.069347672,0.992060377,Unbiased,0.156794724,0.780178285,CM009481.1,LG6,A
RBBH-10058,0.203623433,0.927304188,Unbiased,-0.14287476,0.708076142,CM009482.1,LG7,A
RBBH-10059,0.170700861,0.981498797,Unbiased,-0.610572877,0.412713243,CM009482.1,LG7,A
RBBH-10061,-0.062955439,0.993805669,Unbiased,-0.254896752,0.670692144,CM009482.1,LG7,A
RBBH-10063,-0.243351021,0.950071477,Unbiased,-0.085454767,0.90321004,CM009474.1,LG11,A
RBBH-10064,-0.24674092,0.968252059,Unbiased,-0.147860146,0.815642283,CM009484.1,LG9,A
RBBH-10068,0.692390462,0.947569712,Unbiased,NA,NA,CM009478.1,LG3,A
RBBH-10069,-0.015224143,0.997686618,Unbiased,-0.048364789,0.940132906,PGFK01001376.1,NA,NA
RBBH-10071,-0.219595459,0.951104896,Unbiased,-0.072737689,0.907413707,CM009479.1,LG4,A
RBBH-10072,-0.138865582,0.965858001,Unbiased,-0.191607895,0.562050977,CM009474.1,LG11,A
RBBH-10074,0.082930169,0.995442329,Unbiased,-0.328305306,0.657970486,CM009482.1,LG7,A
RBBH-10075,-0.662689219,0.620884533,Unbiased,0.579084196,0.137336558,CM009472.1,LG1,A
RBBH-10079,-0.041612087,0.99594508,Unbiased,0.629027237,0.03150313,CM009475.1,LG12,A
RBBH-1008,-0.027109041,0.997686618,Unbiased,-1.434372615,0.018287221,CM009480.1,LG5,A
RBBH-10080,0.04248021,0.99594508,Unbiased,-0.978651492,0.038842272,CM009476.1,LG13,X
RBBH-10082,-0.636125709,0.810026745,Unbiased,-0.723711779,0.038009322,CM009472.1,LG1,A
RBBH-10085,-0.339973924,0.888543611,Unbiased,1.042180994,0.001216093,PGFK01002404.1,NA,NA
RBBH-10086,-0.134160982,0.978351944,Unbiased,0.55205892,0.075205525,CM009479.1,LG4,A
RBBH-10087,-0.8583639,0.511312165,Unbiased,NA,NA,CM009481.1,LG6,A
RBBH-10088,0.066193189,0.984504383,Unbiased,-0.395889223,0.129759266,CM009478.1,LG3,A
RBBH-1009,-0.067423057,0.99594508,Unbiased,NA,NA,CM009472.1,LG1,A
RBBH-10090,-0.425129355,0.86644087,Unbiased,-0.361125501,0.591420906,PGFK01003155.1,NA,NA
RBBH-10092,0.334180267,0.924093981,Unbiased,0.328463067,0.621486662,CM009475.1,LG12,A
RBBH-10094,-0.053393359,0.989288522,Unbiased,-0.117375439,0.734710754,CM009479.1,LG4,A
RBBH-10095,-0.742886558,0.436025269,Unbiased,0.537980785,0.118189829,CM009479.1,LG4,A
RBBH-10096,0.706080601,0.455076426,Unbiased,0.042195708,0.943463837,CM009477.1,LG2,A
RBBH-10097,-0.162154731,0.980900171,Unbiased,1.126523353,0.001053161,CM009483.1,LG8,A
RBBH-10098,0.185038294,0.978351944,Unbiased,-0.419128117,0.474185936,CM009479.1,LG4,A
RBBH-101,-0.486808013,0.710275227,Unbiased,0.335967322,0.514516849,CM009478.1,LG3,A
RBBH-10100,-0.081681808,0.99594508,Unbiased,-0.830632361,0.036082843,NA,NA,NA
RBBH-10102,0.164046392,0.958567256,Unbiased,0.463485086,0.094658791,CM009484.1,LG9,A
RBBH-10103,-0.080331803,0.992661784,Unbiased,-0.238182537,0.759361269,CM009474.1,LG11,A
RBBH-10104,0.157083382,0.965858001,Unbiased,0.134387109,0.741531487,CM009478.1,LG3,A
RBBH-10106,-0.231396464,0.985210004,Unbiased,-0.550701527,0.576414923,PGFK01001247.1,NA,NA
RBBH-10108,0.164620665,0.964859235,Unbiased,0.047139517,0.922782066,CM009478.1,LG3,A
RBBH-10109,-0.576342481,0.834859022,Unbiased,-1.1390626,0.081244937,CM009477.1,LG2,A
RBBH-1011,-0.146452939,0.978351944,Unbiased,0.186320953,0.745796504,CM009481.1,LG6,A
RBBH-10110,0.253336454,0.980980293,Unbiased,-0.945665031,0.130300074,PGFK01001659.1,NA,NA
RBBH-10111,-0.154129555,0.974239964,Unbiased,-0.700862275,0.04249836,CM009484.1,LG9,A
RBBH-10112,0.274139493,0.947175543,Unbiased,-0.310575474,0.705728178,CM009479.1,LG4,A
RBBH-10115,-0.47773277,0.501430252,Unbiased,-0.025455988,0.953639073,CM009476.1,LG13,X
RBBH-10117,-0.157379784,0.964859235,Unbiased,0.025444391,0.963591535,CM009472.1,LG1,A
RBBH-10118,-0.352879874,0.839953081,Unbiased,-2.020199146,8.80E-17,NA,NA,NA
RBBH-10119,-0.215253859,0.980980293,Unbiased,0.504706549,0.550746439,CM009483.1,LG8,A
RBBH-1012,0.636884017,0.562365242,Unbiased,0.705282782,0.333804086,CM009484.1,LG9,A
RBBH-10120,0.351863157,0.841127032,Unbiased,0.088857986,0.865856321,CM009479.1,LG4,A
RBBH-10121,0.110884903,0.983557927,Unbiased,-0.954952863,0.021839738,CM009483.1,LG8,A
RBBH-10122,-0.145252812,0.961881268,Unbiased,0.346308011,0.205970526,CM009478.1,LG3,A
RBBH-10123,-0.022017382,0.997640133,Unbiased,-0.434387004,0.120623366,CM009483.1,LG8,A
RBBH-10124,0.430057799,0.692975006,Unbiased,-0.594147583,0.057949187,CM009478.1,LG3,A
RBBH-10126,-0.024046715,0.997640133,Unbiased,0.232818643,0.649501866,PGFK01000374.1,NA,NA
RBBH-10127,-0.292049904,0.980980293,Unbiased,0.11740658,0.936663662,CM009472.1,LG1,A
RBBH-10128,0.407401035,0.839767975,Unbiased,-0.165993588,0.742335969,CM009480.1,LG5,A
RBBH-10129,0.313689758,0.924093981,Unbiased,0.172397896,0.815032799,CM009481.1,LG6,A
RBBH-10130,0.720011295,0.727516352,Unbiased,-0.641888767,0.372336949,CM009478.1,LG3,A
RBBH-10131,-0.200446561,0.969377458,Unbiased,-0.714975769,0.17142644,CM009478.1,LG3,A
RBBH-10132,0.169886339,0.987663039,Unbiased,-0.097668252,0.943463837,CM009474.1,LG11,A
RBBH-10134,0.293992246,0.832312914,Unbiased,-1.286561958,1.19E-07,CM009478.1,LG3,A
RBBH-10135,0.325813913,0.915104134,Unbiased,-0.906693772,0.001902489,CM009479.1,LG4,A
RBBH-10136,0.155026479,0.980980293,Unbiased,-1.202495311,0.000441936,PGFK01001247.1,NA,NA
RBBH-10137,0.355128921,0.735592541,Unbiased,0.066696309,0.889653501,CM009479.1,LG4,A
RBBH-10138,-0.300360354,0.896101415,Unbiased,-0.220756615,0.489889423,CM009476.1,LG13,X
RBBH-10140,-0.01099757,0.998062042,Unbiased,-0.451724971,0.405500133,CM009480.1,LG5,A
RBBH-10141,0.05984359,0.992060377,Unbiased,-0.975083589,0.000124234,NA,NA,NA
RBBH-10142,-0.945504588,0.191060952,Unbiased,1.792982275,3.21167E-06,CM009473.1,LG10,A
RBBH-10143,-0.723112422,0.922166255,Unbiased,-0.852985661,0.007575175,CM009475.1,LG12,A
RBBH-10145,0.230641988,0.927033135,Unbiased,-0.499422927,0.188202643,CM009478.1,LG3,A
RBBH-10146,1.100867641,0.562866495,Unbiased,1.303999656,0.08021021,CM009479.1,LG4,A
RBBH-10149,0.465105667,0.771937764,Unbiased,-0.417455928,0.243482211,PGFK01003638.1,NA,NA
RBBH-10153,0.283135476,0.895298094,Unbiased,-0.084779051,0.8596897,CM009483.1,LG8,A
RBBH-10154,-1.000983284,0.053819569,Unbiased,-0.389239958,0.420561292,CM009479.1,LG4,A
RBBH-10157,0.34038905,0.811519157,Unbiased,0.032943388,0.945865653,CM009473.1,LG10,A
RBBH-10158,1.126583807,0.621042534,Unbiased,-1.484172252,0.0068907,CM009479.1,LG4,A
RBBH-10159,0.027980828,0.997640133,Unbiased,0.325217457,0.475873802,CM009473.1,LG10,A
RBBH-10164,0.349712902,0.838760106,Unbiased,0.307349225,0.365227923,CM009472.1,LG1,A
RBBH-10166,0.870469509,0.416917682,Unbiased,-0.760241663,0.026409485,CM009478.1,LG3,A
RBBH-10167,-0.203845507,0.951962121,Unbiased,0.24130578,0.560940806,CM009473.1,LG10,A
RBBH-10168,-0.227853846,0.924198207,Unbiased,0.050394984,0.92229263,CM009474.1,LG11,A
RBBH-10169,-0.358191209,0.885405977,Unbiased,0.228639988,0.684784585,PGFK01003056.1,NA,NA
RBBH-1017,-0.020772024,0.997640133,Unbiased,0.457590744,0.26209162,CM009478.1,LG3,A
RBBH-10174,-0.127140023,0.968252059,Unbiased,0.026304683,0.957075402,CM009477.1,LG2,A
RBBH-10176,-0.858317054,0.014888021,male_biased,0.018463775,0.968016105,CM009479.1,LG4,A
RBBH-10177,0.129536646,0.994371189,Unbiased,-0.050645958,0.972489405,CM009479.1,LG4,A
RBBH-10178,0.327985114,0.930256015,Unbiased,-0.212825976,0.735282294,CM009476.1,LG13,X
RBBH-10179,0.373526953,0.877695656,Unbiased,0.335905006,0.488820247,CM009483.1,LG8,A
RBBH-1018,-0.054685035,0.99594508,Unbiased,0.45064272,0.514289944,CM009480.1,LG5,A
RBBH-10182,-0.935197123,0.912593653,Unbiased,5.102846251,9.69E-15,NA,NA,NA
RBBH-10184,0.079259923,0.991688359,Unbiased,0.176629351,0.74573848,PGFK01002832.1,NA,NA
RBBH-10185,0.048570079,0.99594508,Unbiased,0.531589234,0.149845181,CM009472.1,LG1,A
RBBH-10186,-0.005134923,0.998561892,Unbiased,-0.844430333,0.005162837,CM009474.1,LG11,A
RBBH-10189,0.555248289,0.524755157,Unbiased,-0.723095243,0.013032141,CM009478.1,LG3,A
RBBH-10190,0.195187559,0.971489035,Unbiased,-0.610680233,0.02340584,CM009480.1,LG5,A
RBBH-10191,0.492332126,0.838760106,Unbiased,-1.180528931,0.057706531,CM009473.1,LG10,A
RBBH-10192,0.402227466,0.657195124,Unbiased,-0.188809764,0.575348228,CM009478.1,LG3,A
RBBH-10193,0.037244649,0.99594508,Unbiased,0.486566287,0.189152079,CM009476.1,LG13,X
RBBH-10194,0.532002628,0.621042534,Unbiased,-0.189283,0.668979029,CM009473.1,LG10,A
RBBH-10195,-0.021302261,0.997640133,Unbiased,-0.241743443,0.525595266,CM009478.1,LG3,A
RBBH-10196,0.054063617,0.99594508,Unbiased,0.665265202,0.065761075,CM009482.1,LG7,A
RBBH-10199,0.129416367,0.980980293,Unbiased,0.065523154,0.931837942,CM009478.1,LG3,A
RBBH-102,0.211929144,0.954639397,Unbiased,0.097958265,0.863180045,CM009482.1,LG7,A
RBBH-1020,-0.726939375,0.764902965,Unbiased,1.133988797,0.016463238,CM009484.1,LG9,A
RBBH-10200,0.060888314,0.995088128,Unbiased,-1.049233962,0.004810799,CM009477.1,LG2,A
RBBH-10201,0.26277653,0.897212739,Unbiased,-0.574857784,0.111094924,CM009483.1,LG8,A
RBBH-10202,0.015440694,0.997686618,Unbiased,-0.027097949,0.959098907,CM009472.1,LG1,A
RBBH-10203,-0.290076419,0.877695656,Unbiased,0.10937428,0.810530954,CM009478.1,LG3,A
RBBH-10207,0.27098376,0.949731444,Unbiased,-0.084304261,0.920771825,CM009479.1,LG4,A
RBBH-10208,-0.07276287,0.984111276,Unbiased,-0.150769034,0.643424255,CM009483.1,LG8,A
RBBH-10209,0.002655677,0.999354231,Unbiased,0.126417552,0.71861226,CM009479.1,LG4,A
RBBH-10211,0.063024098,0.989215886,Unbiased,-0.004640349,0.990034914,CM009472.1,LG1,A
RBBH-10212,-0.075429862,0.990584297,Unbiased,-0.243621829,0.63095019,CM009483.1,LG8,A
RBBH-10213,-0.00246423,0.999459565,Unbiased,-0.186160948,0.565969712,CM009480.1,LG5,A
RBBH-10214,0.086603727,0.989734521,Unbiased,0.158008833,0.810982792,CM009479.1,LG4,A
RBBH-10216,0.150304002,0.965858001,Unbiased,0.157837008,0.680943372,CM009483.1,LG8,A
RBBH-10218,-0.100842359,0.980980293,Unbiased,0.501408055,0.076774582,CM009474.1,LG11,A
RBBH-10220,0.246007108,0.890209436,Unbiased,-0.131024732,0.705816389,CM009484.1,LG9,A
RBBH-10221,0.333854797,0.789153457,Unbiased,-0.372863858,0.19344487,PGFK01000384.1,NA,NA
RBBH-10222,-0.018361544,0.997686618,Unbiased,1.128050557,0.001874817,CM009482.1,LG7,A
RBBH-10223,1.064450427,0.333297943,Unbiased,0.030849161,0.961508807,CM009479.1,LG4,A
RBBH-10224,0.503225009,0.831037881,Unbiased,0.023394749,0.976781772,CM009479.1,LG4,A
RBBH-10226,0.138797451,0.971489035,Unbiased,-0.95444677,0.002235154,CM009478.1,LG3,A
RBBH-10229,-0.30988094,0.964664027,Unbiased,0.874466574,0.058849529,CM009479.1,LG4,A
RBBH-1023,-0.264935703,0.930256015,Unbiased,-0.985303298,0.067184812,CM009478.1,LG3,A
RBBH-10230,-0.247121494,0.94435373,Unbiased,0.342539336,0.453901874,PGFK01002391.1,NA,NA
RBBH-10232,-0.166989604,0.984255436,Unbiased,-0.846590291,0.328725575,CM009479.1,LG4,A
RBBH-10233,-0.060432462,0.992060377,Unbiased,0.040001747,0.936046639,PGFK01001247.1,NA,NA
RBBH-10235,-1.041821245,0.841127032,Unbiased,-0.195392486,0.870147144,CM009478.1,LG3,A
RBBH-10238,0.037833266,0.995442329,Unbiased,0.329220937,0.27709107,CM009474.1,LG11,A
RBBH-10239,0.366819591,0.89785565,Unbiased,0.291901823,0.631168651,CM009478.1,LG3,A
RBBH-1024,0.677023172,0.447373223,Unbiased,0.451911276,0.213104314,CM009474.1,LG11,A
RBBH-10240,-0.40909665,0.924093981,Unbiased,0.634739909,0.243608315,CM009483.1,LG8,A
RBBH-10241,-0.003810356,0.999223795,Unbiased,0.010755004,0.98586096,CM009478.1,LG3,A
RBBH-10244,-0.043625214,0.99542733,Unbiased,-0.212482712,0.489886632,CM009479.1,LG4,A
RBBH-10249,-0.371435373,0.692542977,Unbiased,0.244014827,0.435722125,CM009480.1,LG5,A
RBBH-1025,-0.054278049,0.992060377,Unbiased,0.241958445,0.415128501,CM009479.1,LG4,A
RBBH-10251,1.465039581,0.125179726,Unbiased,1.266012257,0.005788523,CM009482.1,LG7,A
RBBH-10253,0.34976269,0.896101415,Unbiased,0.086186548,0.914551158,CM009482.1,LG7,A
RBBH-10255,-1.10103383,0.628043253,Unbiased,1.858615424,1.66507E-05,PGFK01001247.1,NA,NA
RBBH-10258,-0.837555814,0.768231415,Unbiased,1.129519868,0.006704755,PGFK01000128.1,NA,NA
RBBH-10259,0.427940859,0.805910797,Unbiased,-0.643127858,0.119134933,CM009478.1,LG3,A
RBBH-1026,3.889635026,0.009173247,female_biased,-2.673350608,0.005184652,CM009472.1,LG1,A
RBBH-10264,-0.30815276,0.930438062,Unbiased,0.23663843,0.688334901,CM009476.1,LG13,X
RBBH-10266,0.518767934,0.560565961,Unbiased,-0.926841753,0.00031692,CM009478.1,LG3,A
RBBH-10267,0.306818816,0.897212739,Unbiased,-0.504592427,0.18516908,NA,NA,NA
RBBH-10268,-0.469847102,0.549986983,Unbiased,0.883983573,9.01201E-05,CM009479.1,LG4,A
RBBH-10271,-1.419131892,0.620884533,Unbiased,2.998702522,1.97E-17,CM009482.1,LG7,A
RBBH-10272,-0.023545371,0.997640133,Unbiased,-0.346906626,0.431710692,CM009473.1,LG10,A
RBBH-10273,-0.49167765,0.610454308,Unbiased,0.380972063,0.365089061,CM009477.1,LG2,A
RBBH-10274,0.058818957,0.992060377,Unbiased,0.805470363,0.008487901,PGFK01000663.1,NA,NA
RBBH-10276,0.00741364,0.998312735,Unbiased,-0.13363036,0.774051,PGFK01003485.1,NA,NA
RBBH-10277,-0.456820294,0.924198207,Unbiased,0.929305777,0.057216315,CM009478.1,LG3,A
RBBH-10279,-0.073387099,0.995088128,Unbiased,-1.624498642,0.003566003,CM009483.1,LG8,A
RBBH-1028,-0.260338623,0.915817934,Unbiased,0.811725934,0.005819049,CM009481.1,LG6,A
RBBH-10280,1.04500459,0.549986983,Unbiased,-0.949290707,0.165681627,CM009472.1,LG1,A
RBBH-10283,0.102897412,0.983557927,Unbiased,1.779402471,0.014978146,CM009482.1,LG7,A
RBBH-10284,-0.450121212,0.727516352,Unbiased,-0.007220182,0.989150079,CM009483.1,LG8,A
RBBH-10285,-0.132470226,0.984620551,Unbiased,-0.483130061,0.427821889,CM009476.1,LG13,X
RBBH-10286,-0.007516317,0.998561892,Unbiased,-0.504326179,0.464990297,CM009478.1,LG3,A
RBBH-10287,0.121338224,0.984111276,Unbiased,-0.595864295,0.269483495,CM009473.1,LG10,A
RBBH-1029,0.718026646,0.39688692,Unbiased,1.742047397,4.43E-12,CM009478.1,LG3,A
RBBH-10290,0.424664806,0.681334777,Unbiased,0.193397948,0.554184676,CM009474.1,LG11,A
RBBH-10291,0.211816288,0.929299707,Unbiased,-0.007959961,0.986398111,PGFK01002481.1,NA,NA
RBBH-10293,-0.472473706,0.775922349,Unbiased,-0.471490668,0.321592937,PGFK01003155.1,NA,NA
RBBH-10295,0.650779022,0.4783322,Unbiased,0.022101842,0.967652188,CM009478.1,LG3,A
RBBH-10297,-0.093200847,0.980980293,Unbiased,0.42999269,0.157980573,CM009472.1,LG1,A
RBBH-10298,-0.288861562,0.843875934,Unbiased,-0.159782491,0.652078087,PGFK01003056.1,NA,NA
RBBH-10299,-0.189637202,0.964859235,Unbiased,-0.043635255,0.938899659,CM009482.1,LG7,A
RBBH-103,0.137650533,0.980980293,Unbiased,-0.288176221,0.57178194,CM009478.1,LG3,A
RBBH-10300,0.161543317,0.965858001,Unbiased,0.033417695,0.948177441,CM009473.1,LG10,A
RBBH-10301,-0.158564079,0.951878219,Unbiased,0.356237622,0.1947364,CM009477.1,LG2,A
RBBH-10302,0.147296776,0.978351944,Unbiased,-0.35844713,0.539307257,CM009481.1,LG6,A
RBBH-10305,0.393566608,0.885405977,Unbiased,NA,NA,CM009473.1,LG10,A
RBBH-10306,0.372549451,0.920481463,Unbiased,0.213865095,0.758419423,CM009483.1,LG8,A
RBBH-10307,-0.207456472,0.978351944,Unbiased,-0.440485462,0.561648401,CM009484.1,LG9,A
RBBH-10308,-0.188043811,0.929299707,Unbiased,0.556020811,0.028470159,PGFK01001659.1,NA,NA
RBBH-10309,-0.259404321,0.89785565,Unbiased,0.30083683,0.3089192,CM009478.1,LG3,A
RBBH-1031,-0.341354118,0.76542231,Unbiased,-0.015562128,0.972489405,CM009472.1,LG1,A
RBBH-10310,0.157023359,0.964859235,Unbiased,-0.117198248,0.782182895,CM009478.1,LG3,A
RBBH-10311,-0.439298769,0.942798158,Unbiased,0.24158104,0.62835861,CM009483.1,LG8,A
RBBH-10312,-0.023039986,0.997640133,Unbiased,-0.794665569,0.014603347,PGFK01002461.1,NA,NA
RBBH-10313,-0.627562509,0.655188828,Unbiased,0.604064924,0.23971293,PGFK01002391.1,NA,NA
RBBH-10314,-0.081494309,0.983557927,Unbiased,0.082891742,0.865675262,CM009483.1,LG8,A
RBBH-10316,0.01469888,0.997686618,Unbiased,-0.368533447,0.429905792,CM009478.1,LG3,A
RBBH-10317,0.165166078,0.971489035,Unbiased,0.274383947,0.573041185,CM009475.1,LG12,A
RBBH-10318,-0.856897428,0.330432875,Unbiased,-0.343934299,0.582882183,PGFK01003155.1,NA,NA
RBBH-10319,0.120806582,0.978351944,Unbiased,-0.236784693,0.638229139,CM009483.1,LG8,A
RBBH-1032,0.027941729,0.99594508,Unbiased,-0.047243518,0.926711809,CM009473.1,LG10,A
RBBH-10321,-0.771937887,0.340058577,Unbiased,0.431574341,0.365227923,CM009482.1,LG7,A
RBBH-10323,-0.064914475,0.987214358,Unbiased,-0.358505311,0.194497505,CM009477.1,LG2,A
RBBH-10325,0.28676196,0.847241049,Unbiased,-0.720280892,0.005188203,CM009479.1,LG4,A
RBBH-10326,-0.02527594,0.997640133,Unbiased,0.803025769,0.007137937,CM009479.1,LG4,A
RBBH-10327,0.046442673,0.995088128,Unbiased,-0.152324249,0.741062508,CM009476.1,LG13,X
RBBH-1033,1.270623538,0.000135616,female_biased,0.128006267,0.755315366,CM009472.1,LG1,A
RBBH-10331,-0.343600164,0.736051515,Unbiased,0.160507095,0.650638239,CM009481.1,LG6,A
RBBH-10333,-2.675445697,4.53E-10,male_biased,-0.040873424,0.942613121,CM009473.1,LG10,A
RBBH-10335,-0.116262302,0.971489035,Unbiased,0.072590187,0.850254703,CM009472.1,LG1,A
RBBH-10336,0.065009175,0.992060377,Unbiased,0.014300651,0.980718063,CM009474.1,LG11,A
RBBH-10337,-0.248831809,0.978351944,Unbiased,NA,NA,PGFK01001531.1,NA,NA
RBBH-1034,0.581914322,0.378255784,Unbiased,0.240847158,0.531203238,CM009479.1,LG4,A
RBBH-10341,-0.107235266,0.975845482,Unbiased,-1.597148996,1.71E-10,CM009482.1,LG7,A
RBBH-10343,-0.046429804,0.99594508,Unbiased,0.055432516,0.934452247,CM009477.1,LG2,A
RBBH-10344,-0.045319551,0.99594508,Unbiased,0.217021717,0.649501866,CM009472.1,LG1,A
RBBH-10345,-0.030481738,0.99594508,Unbiased,-0.279800876,0.335061257,CM009478.1,LG3,A
RBBH-10347,0.038054395,0.994371189,Unbiased,0.086424303,0.816451244,PGFK01000394.1,NA,NA
RBBH-10348,0.049051596,0.99594508,Unbiased,0.266184784,0.596909566,CM009483.1,LG8,A
RBBH-10350,-0.064590759,0.985714406,Unbiased,-1.132243312,7.49452E-06,CM009478.1,LG3,A
RBBH-10352,0.793180624,0.296972913,Unbiased,-0.670571613,0.075089151,CM009482.1,LG7,A
RBBH-10353,-1.132392953,0.073600478,Unbiased,0.310082801,0.546077051,PGFK01000501.1,NA,NA
RBBH-10355,0.037446083,0.997640133,Unbiased,0.403472358,0.477781911,CM009481.1,LG6,A
RBBH-10356,0.501710483,0.885405977,Unbiased,0.389991841,0.517375609,CM009483.1,LG8,A
RBBH-10359,0.784734352,0.623338663,Unbiased,NA,NA,CM009472.1,LG1,A
RBBH-1036,-0.451574687,0.727516352,Unbiased,1.120738451,0.0002397,CM009481.1,LG6,A
RBBH-10361,-0.016923969,0.997686618,Unbiased,-0.005360474,0.989894092,CM009474.1,LG11,A
RBBH-10362,0.854651286,0.506875624,Unbiased,0.264653062,0.559569718,CM009484.1,LG9,A
RBBH-10363,0.175636408,0.965858001,Unbiased,-0.48220621,0.17478347,CM009473.1,LG10,A
RBBH-10364,0.434940476,0.895298094,Unbiased,-0.147830415,0.850254703,CM009480.1,LG5,A
RBBH-10365,-0.212919065,0.924093981,Unbiased,-0.674151865,0.001905493,CM009482.1,LG7,A
RBBH-10366,0.24965556,0.949731444,Unbiased,0.078470721,0.911312466,CM009480.1,LG5,A
RBBH-1037,-0.01706218,0.997640133,Unbiased,0.159811387,0.634366386,CM009482.1,LG7,A
RBBH-10370,-0.621870263,0.519645918,Unbiased,0.203635993,0.696174021,CM009478.1,LG3,A
RBBH-10371,-0.180907723,0.966499845,Unbiased,0.793958546,0.031164214,CM009482.1,LG7,A
RBBH-10372,-0.043132849,0.99594508,Unbiased,-0.372939887,0.538360922,CM009481.1,LG6,A
RBBH-10374,0.210362835,0.947175543,Unbiased,-0.101366765,0.851463902,CM009481.1,LG6,A
RBBH-10375,-0.124145748,0.985210004,Unbiased,1.445507232,0.000249243,CM009483.1,LG8,A
RBBH-10376,-0.228750883,0.968849065,Unbiased,0.272968459,0.64221437,CM009474.1,LG11,A
